year,month,cinema_location,total_sales
1994,05,834 Christine Orchard Apt. 381,16555
1994,05,87747 Ross Parks Apt. 527,16220
1994,05,8952 Zhang Prairie,9980
1994,05,91617 Cole Underpass,7040
1994,05,91641 John Islands,5620
1994,05,9944 April Squares,10155
1994,06,049 William Parkways,12715
1994,06,0794 Miller Place,7765
1994,06,122 Mckee Flat Suite 088,5770
1994,06,12635 Joseph Street Suite 224,26210
1994,06,1835 Charles Trail,16290
1994,06,22522 Savage Rest Suite 648,17770
1994,06,264 Marshall Islands,17305
1994,06,30546 Angela Grove,14770
1994,06,334 Simmons Branch Suite 380,10440
1994,06,3419 Griffin Keys,5385
1994,06,37403 Leonard Circles Apt. 238,10510
1994,06,3828 William Turnpike,26140
1994,06,38500 Robert Meadow,9660
1994,06,4556 Lydia Junctions,22845
1994,06,4620 Shannon Dale Suite 351,9785
1994,06,468 Ashley Lock,19570
1994,06,5567 Johnston Lodge Suite 478,1355
1994,06,5869 Willis Summit,5890
1994,06,617 Jones Drive Suite 929,17365
1994,06,6344 Douglas Brooks,8430
1994,06,70360 Jill Points,19325
1994,06,7083 Mahoney Street,3050
1994,06,7120 Jennifer Station,21305
1994,06,73551 West Spur,14495
1994,06,834 Christine Orchard Apt. 381,25895
1994,06,87747 Ross Parks Apt. 527,8795
1994,06,88034 Baker Trafficway,27020
1994,06,8952 Zhang Prairie,9295
1994,06,91617 Cole Underpass,8560
1994,06,9944 April Squares,15025
1994,07,0083 Jasmine Canyon Suite 151,2000
1994,07,049 William Parkways,14970
1994,07,122 Mckee Flat Suite 088,10380
1994,07,150 Elizabeth Path Suite 550,6945
1994,07,1697 Coleman Fork Suite 182,7015
1994,07,2453 Mary Meadow Apt. 952,8550
1994,07,30546 Angela Grove,9190
1994,07,3419 Griffin Keys,3615
1994,07,360 Jessica Square,9070
1994,07,3828 William Turnpike,7955
1994,07,468 Ashley Lock,6450
1994,07,70360 Jill Points,935
1994,07,7083 Mahoney Street,8775
1994,07,73551 West Spur,14145
1994,07,8168 Weaver Plaza Apt. 175,2695
1994,07,87747 Ross Parks Apt. 527,10875
1994,07,8952 Zhang Prairie,7745
1994,07,91617 Cole Underpass,7870
1994,08,0083 Jasmine Canyon Suite 151,16590
1994,08,0151 Nicole Road Apt. 213,8200
1994,08,150 Elizabeth Path Suite 550,1195
1994,08,1835 Charles Trail,9430
1994,08,2562 Don Garden Suite 520,12230
1994,08,30546 Angela Grove,9070
1994,08,334 Simmons Branch Suite 380,14950
1994,08,360 Jessica Square,4230
1994,08,37403 Leonard Circles Apt. 238,20460
1994,08,38418 Vincent Passage Suite 503,7170
1994,08,38500 Robert Meadow,8520
1994,08,4556 Lydia Junctions,19140
1994,08,468 Ashley Lock,14185
1994,08,577 Robinson Villages Apt. 588,16360
1994,08,5869 Willis Summit,5735
1994,08,617 Jones Drive Suite 929,7655
1994,08,70360 Jill Points,8375
1994,08,7083 Mahoney Street,6565
1994,08,8168 Weaver Plaza Apt. 175,13835
1994,08,821 Ruben Forges,6570
1994,08,834 Christine Orchard Apt. 381,11230
1994,08,87747 Ross Parks Apt. 527,7060
1994,08,8952 Zhang Prairie,7320
1994,08,91641 John Islands,24995
1994,08,96005 Barber Flats Apt. 267,3875
1994,09,0151 Nicole Road Apt. 213,8280
1994,09,150 Elizabeth Path Suite 550,8355
1994,09,2562 Don Garden Suite 520,2840
1994,09,360 Jessica Square,2440
1994,09,5869 Willis Summit,2485
1994,09,834 Christine Orchard Apt. 381,5375
1994,09,91617 Cole Underpass,7430
1994,09,96005 Barber Flats Apt. 267,5100
1994,12,0794 Miller Place,4145
1994,12,264 Marshall Islands,7960
1994,12,360 Jessica Square,8905
1994,12,3828 William Turnpike,9965
1994,12,4620 Shannon Dale Suite 351,2360
1994,12,468 Ashley Lock,13575
1994,12,537 Mejia Wall Suite 409,17110
1994,12,5869 Willis Summit,2345
1994,12,6344 Douglas Brooks,2135
1994,12,7083 Mahoney Street,7005
1994,12,7120 Jennifer Station,6980
1994,12,87747 Ross Parks Apt. 527,8030
1994,12,96005 Barber Flats Apt. 267,2900
1995,01,0083 Jasmine Canyon Suite 151,9560
1995,01,0794 Miller Place,3500
1995,01,1697 Coleman Fork Suite 182,10430
1995,01,334 Simmons Branch Suite 380,43070
1995,01,360 Jessica Square,9375
1995,01,37403 Leonard Circles Apt. 238,7445
1995,01,3828 William Turnpike,5230
1995,01,38418 Vincent Passage Suite 503,17065
1995,01,4620 Shannon Dale Suite 351,4155
1995,01,468 Ashley Lock,4385
1995,01,478 Thomas Rest Apt. 466,8780
1995,01,5869 Willis Summit,24845
1995,01,6344 Douglas Brooks,6625
1995,01,7083 Mahoney Street,18820
1995,01,7120 Jennifer Station,6935
1995,01,834 Christine Orchard Apt. 381,7945
1995,01,88034 Baker Trafficway,6575
1995,01,96005 Barber Flats Apt. 267,5870
1995,02,049 William Parkways,585
1995,02,22522 Savage Rest Suite 648,700
1995,02,38500 Robert Meadow,1005
1995,03,0083 Jasmine Canyon Suite 151,6460
1995,03,0151 Nicole Road Apt. 213,5800
1995,03,049 William Parkways,10895
1995,03,1036 Edwards Flats Suite 078,4805
1995,03,1697 Coleman Fork Suite 182,9265
1995,03,1835 Charles Trail,7050
1995,03,1921 Gonzalez Trace Apt. 906,6445
1995,03,22522 Savage Rest Suite 648,11990
1995,03,2453 Mary Meadow Apt. 952,6240
1995,03,2562 Don Garden Suite 520,7970
1995,03,30546 Angela Grove,9170
1995,03,334 Simmons Branch Suite 380,9160
1995,03,3419 Griffin Keys,9185
1995,03,360 Jessica Square,23955
1995,03,37403 Leonard Circles Apt. 238,21915
1995,03,38500 Robert Meadow,26165
1995,03,4620 Shannon Dale Suite 351,8610
1995,03,468 Ashley Lock,26290
1995,03,478 Thomas Rest Apt. 466,10200
1995,03,537 Mejia Wall Suite 409,19175
1995,03,5567 Johnston Lodge Suite 478,10630
1995,03,5686 Jones Lane,12765
1995,03,577 Robinson Villages Apt. 588,13490
1995,03,5869 Willis Summit,15905
1995,03,617 Jones Drive Suite 929,9245
1995,03,6344 Douglas Brooks,26510
1995,03,680 Shawn Valleys,10520
1995,03,70360 Jill Points,7805
1995,03,7120 Jennifer Station,7755
1995,03,8168 Weaver Plaza Apt. 175,17330
1995,03,821 Ruben Forges,24705
1995,03,87747 Ross Parks Apt. 527,15415
1995,03,8952 Zhang Prairie,34960
1995,03,91617 Cole Underpass,16665
1995,03,91641 John Islands,6085
1995,03,9944 April Squares,7735
1995,04,0083 Jasmine Canyon Suite 151,7370
1995,04,0151 Nicole Road Apt. 213,1300
1995,04,049 William Parkways,3570
1995,04,1036 Edwards Flats Suite 078,13905
1995,04,1835 Charles Trail,510
1995,04,22522 Savage Rest Suite 648,1360
1995,04,2453 Mary Meadow Apt. 952,6520
1995,04,264 Marshall Islands,4510
1995,04,334 Simmons Branch Suite 380,7965
1995,04,3419 Griffin Keys,10335
1995,04,360 Jessica Square,2910
1995,04,37403 Leonard Circles Apt. 238,20680
1995,04,3828 William Turnpike,9845
1995,04,38418 Vincent Passage Suite 503,7790
1995,04,38500 Robert Meadow,6405
1995,04,4556 Lydia Junctions,3330
1995,04,4620 Shannon Dale Suite 351,505
1995,04,468 Ashley Lock,5655
1995,04,537 Mejia Wall Suite 409,3760
1995,04,5567 Johnston Lodge Suite 478,10645
1995,04,5686 Jones Lane,2600
1995,04,577 Robinson Villages Apt. 588,13785
1995,04,617 Jones Drive Suite 929,2340
1995,04,6344 Douglas Brooks,6305
1995,04,8168 Weaver Plaza Apt. 175,7065
1995,04,834 Christine Orchard Apt. 381,8695
1995,04,91641 John Islands,7845
1995,05,049 William Parkways,7255
1995,05,1036 Edwards Flats Suite 078,9350
1995,05,122 Mckee Flat Suite 088,7835
1995,05,12635 Joseph Street Suite 224,7870
1995,05,150 Elizabeth Path Suite 550,26360
1995,05,22522 Savage Rest Suite 648,5905
1995,05,2562 Don Garden Suite 520,7565
1995,05,264 Marshall Islands,4755
1995,05,3828 William Turnpike,8810
1995,05,4556 Lydia Junctions,21780
1995,05,4620 Shannon Dale Suite 351,5810
1995,05,468 Ashley Lock,10165
1995,05,478 Thomas Rest Apt. 466,19600
1995,05,537 Mejia Wall Suite 409,7665
1995,05,5567 Johnston Lodge Suite 478,11635
1995,05,5869 Willis Summit,8795
1995,05,617 Jones Drive Suite 929,8360
1995,05,6344 Douglas Brooks,7445
1995,05,680 Shawn Valleys,8040
1995,05,70360 Jill Points,1745
1995,05,7083 Mahoney Street,16940
1995,05,7120 Jennifer Station,16590
1995,05,73551 West Spur,7835
1995,05,8168 Weaver Plaza Apt. 175,7590
1995,05,88034 Baker Trafficway,16895
1995,05,91641 John Islands,24685
1995,05,96005 Barber Flats Apt. 267,7220
1995,06,0083 Jasmine Canyon Suite 151,8855
1995,06,049 William Parkways,17495
1995,06,0794 Miller Place,4670
1995,06,1036 Edwards Flats Suite 078,6750
1995,06,150 Elizabeth Path Suite 550,8555
1995,06,1697 Coleman Fork Suite 182,14120
1995,06,1835 Charles Trail,25565
1995,06,1921 Gonzalez Trace Apt. 906,9175
1995,06,22522 Savage Rest Suite 648,1910
1995,06,3419 Griffin Keys,8610
1995,06,360 Jessica Square,4650
1995,06,3828 William Turnpike,7335
1995,06,38500 Robert Meadow,7790
1995,06,4620 Shannon Dale Suite 351,3490
1995,06,478 Thomas Rest Apt. 466,6825
1995,06,537 Mejia Wall Suite 409,7240
1995,06,5567 Johnston Lodge Suite 478,3220
1995,06,5686 Jones Lane,10010
1995,06,617 Jones Drive Suite 929,9470
1995,06,70360 Jill Points,13960
1995,06,821 Ruben Forges,7855
1995,06,87747 Ross Parks Apt. 527,7995
1995,06,91641 John Islands,5840
1995,06,96005 Barber Flats Apt. 267,7935
1995,06,9944 April Squares,7650
1995,07,0083 Jasmine Canyon Suite 151,7510
1995,07,0794 Miller Place,13400
1995,07,122 Mckee Flat Suite 088,7950
1995,07,12635 Joseph Street Suite 224,8875
1995,07,1697 Coleman Fork Suite 182,17410
1995,07,1835 Charles Trail,8660
1995,07,1921 Gonzalez Trace Apt. 906,15260
1995,07,22522 Savage Rest Suite 648,7910
1995,07,2453 Mary Meadow Apt. 952,22550
1995,07,2562 Don Garden Suite 520,10055
1995,07,30546 Angela Grove,8925
1995,07,3419 Griffin Keys,15185
1995,07,360 Jessica Square,16170
1995,07,37403 Leonard Circles Apt. 238,8295
1995,07,3828 William Turnpike,10920
1995,07,38418 Vincent Passage Suite 503,14450
1995,07,38500 Robert Meadow,8315
1995,07,4620 Shannon Dale Suite 351,36495
1995,07,468 Ashley Lock,345
1995,07,478 Thomas Rest Apt. 466,21745
1995,07,537 Mejia Wall Suite 409,2145
1995,07,5567 Johnston Lodge Suite 478,21605
1995,07,5686 Jones Lane,6895
1995,07,577 Robinson Villages Apt. 588,6905
1995,07,5869 Willis Summit,34090
1995,07,6344 Douglas Brooks,9325
1995,07,680 Shawn Valleys,7465
1995,07,70360 Jill Points,17350
1995,07,7120 Jennifer Station,15395
1995,07,8168 Weaver Plaza Apt. 175,8545
1995,07,821 Ruben Forges,30135
1995,07,8292 Phillips Unions Apt. 404,14005
1995,07,834 Christine Orchard Apt. 381,17340
1995,07,87747 Ross Parks Apt. 527,14280
1995,07,96005 Barber Flats Apt. 267,18135
1995,08,0151 Nicole Road Apt. 213,9730
1995,08,049 William Parkways,7920
1995,08,0794 Miller Place,3650
1995,08,1036 Edwards Flats Suite 078,8930
1995,08,1697 Coleman Fork Suite 182,16365
1995,08,2453 Mary Meadow Apt. 952,26705
1995,08,2562 Don Garden Suite 520,7110
1995,08,334 Simmons Branch Suite 380,9780
1995,08,360 Jessica Square,3280
1995,08,37403 Leonard Circles Apt. 238,905
1995,08,3828 William Turnpike,10045
1995,08,38418 Vincent Passage Suite 503,2730
1995,08,38500 Robert Meadow,9750
1995,08,4556 Lydia Junctions,16085
1995,08,4620 Shannon Dale Suite 351,5125
1995,08,468 Ashley Lock,7135
1995,08,478 Thomas Rest Apt. 466,2530
1995,08,5869 Willis Summit,14905
1995,08,617 Jones Drive Suite 929,10205
1995,08,680 Shawn Valleys,1935
1995,08,7083 Mahoney Street,6835
1995,08,73551 West Spur,7995
1995,08,821 Ruben Forges,4880
1995,08,8292 Phillips Unions Apt. 404,11455
1995,08,91641 John Islands,7495
1995,08,9944 April Squares,8960
1995,09,049 William Parkways,8180
1995,09,0794 Miller Place,8190
1995,09,1036 Edwards Flats Suite 078,8705
1995,09,122 Mckee Flat Suite 088,16545
1995,09,150 Elizabeth Path Suite 550,10860
1995,09,1697 Coleman Fork Suite 182,3525
1995,09,1921 Gonzalez Trace Apt. 906,8295
1995,09,22522 Savage Rest Suite 648,9125
1995,09,2453 Mary Meadow Apt. 952,7035
1995,09,2562 Don Garden Suite 520,9765
1995,09,30546 Angela Grove,6910
1995,09,334 Simmons Branch Suite 380,2655
1995,09,360 Jessica Square,16800
1995,09,38418 Vincent Passage Suite 503,5815
1995,09,38500 Robert Meadow,8610
1995,09,4556 Lydia Junctions,6260
1995,09,478 Thomas Rest Apt. 466,9750
1995,09,5567 Johnston Lodge Suite 478,9520
1995,09,617 Jones Drive Suite 929,6000
1995,09,6344 Douglas Brooks,12050
1995,09,70360 Jill Points,17660
1995,09,7083 Mahoney Street,10500
1995,09,7120 Jennifer Station,10525
1995,09,73551 West Spur,16875
1995,09,8168 Weaver Plaza Apt. 175,28605
1995,09,821 Ruben Forges,3130
1995,09,834 Christine Orchard Apt. 381,7220
1995,09,87747 Ross Parks Apt. 527,3545
1995,09,8952 Zhang Prairie,7385
1995,09,91617 Cole Underpass,9285
1995,09,91641 John Islands,8205
1995,09,96005 Barber Flats Apt. 267,15885
1995,09,9944 April Squares,1500
1995,10,0151 Nicole Road Apt. 213,7350
1995,10,0794 Miller Place,7535
1995,10,150 Elizabeth Path Suite 550,5480
1995,10,1697 Coleman Fork Suite 182,21140
1995,10,1835 Charles Trail,8430
1995,10,22522 Savage Rest Suite 648,8605
1995,10,334 Simmons Branch Suite 380,5860
1995,10,3419 Griffin Keys,8275
1995,10,38418 Vincent Passage Suite 503,10560
1995,10,38500 Robert Meadow,8085
1995,10,4556 Lydia Junctions,10895
1995,10,468 Ashley Lock,39730
1995,10,478 Thomas Rest Apt. 466,14830
1995,10,577 Robinson Villages Apt. 588,8250
1995,10,7083 Mahoney Street,15180
1995,10,7120 Jennifer Station,10450
1995,10,73551 West Spur,8640
1995,10,821 Ruben Forges,4905
1995,10,87747 Ross Parks Apt. 527,21100
1995,10,8952 Zhang Prairie,7940
1995,10,91641 John Islands,8445
1995,10,96005 Barber Flats Apt. 267,16120
1995,10,9944 April Squares,5965
1995,11,0083 Jasmine Canyon Suite 151,8070
1995,11,0794 Miller Place,860
1995,11,122 Mckee Flat Suite 088,8950
1995,11,30546 Angela Grove,6685
1995,11,360 Jessica Square,2025
1995,11,37403 Leonard Circles Apt. 238,16930
1995,11,468 Ashley Lock,6855
1995,11,478 Thomas Rest Apt. 466,10840
1995,11,5686 Jones Lane,9735
1995,11,6344 Douglas Brooks,7310
1995,11,7120 Jennifer Station,7270
1995,11,821 Ruben Forges,8765
1995,12,1921 Gonzalez Trace Apt. 906,7900
1995,12,30546 Angela Grove,1290
1995,12,360 Jessica Square,6710
1995,12,6344 Douglas Brooks,930
1995,12,821 Ruben Forges,8165
1995,12,9944 April Squares,8395
1996,01,0083 Jasmine Canyon Suite 151,7145
1996,01,1036 Edwards Flats Suite 078,2770
1996,01,122 Mckee Flat Suite 088,6570
1996,01,1697 Coleman Fork Suite 182,7055
1996,01,1835 Charles Trail,10630
1996,01,2562 Don Garden Suite 520,9220
1996,01,264 Marshall Islands,7160
1996,01,30546 Angela Grove,7795
1996,01,360 Jessica Square,1030
1996,01,37403 Leonard Circles Apt. 238,8130
1996,01,3828 William Turnpike,8395
1996,01,468 Ashley Lock,9135
1996,01,478 Thomas Rest Apt. 466,7465
1996,01,680 Shawn Valleys,16630
1996,01,70360 Jill Points,8395
1996,01,7083 Mahoney Street,7850
1996,01,7120 Jennifer Station,6295
1996,01,821 Ruben Forges,8470
1996,01,8952 Zhang Prairie,17485
1996,01,91641 John Islands,15395
1996,02,1036 Edwards Flats Suite 078,5270
1996,02,122 Mckee Flat Suite 088,2640
1996,02,12635 Joseph Street Suite 224,18045
1996,02,150 Elizabeth Path Suite 550,9460
1996,02,1697 Coleman Fork Suite 182,7700
1996,02,1835 Charles Trail,13280
1996,02,2562 Don Garden Suite 520,16840
1996,02,334 Simmons Branch Suite 380,4565
1996,02,360 Jessica Square,18145
1996,02,37403 Leonard Circles Apt. 238,8455
1996,02,3828 William Turnpike,4980
1996,02,38500 Robert Meadow,16460
1996,02,4556 Lydia Junctions,8455
1996,02,478 Thomas Rest Apt. 466,16375
1996,02,537 Mejia Wall Suite 409,17060
1996,02,5686 Jones Lane,470
1996,02,7120 Jennifer Station,10155
1996,02,821 Ruben Forges,8050
1996,02,8292 Phillips Unions Apt. 404,6025
1996,02,88034 Baker Trafficway,15910
1996,02,8952 Zhang Prairie,25355
1996,02,91617 Cole Underpass,10455
1996,02,91641 John Islands,7465
1996,02,96005 Barber Flats Apt. 267,17730
1996,03,0151 Nicole Road Apt. 213,9145
1996,03,0794 Miller Place,10655
1996,03,122 Mckee Flat Suite 088,12380
1996,03,2562 Don Garden Suite 520,19400
1996,03,30546 Angela Grove,14220
1996,03,334 Simmons Branch Suite 380,9100
1996,03,3419 Griffin Keys,14860
1996,03,37403 Leonard Circles Apt. 238,7815
1996,03,3828 William Turnpike,12785
1996,03,4556 Lydia Junctions,19320
1996,03,468 Ashley Lock,6875
1996,03,478 Thomas Rest Apt. 466,6830
1996,03,537 Mejia Wall Suite 409,7665
1996,03,5567 Johnston Lodge Suite 478,7915
1996,03,5686 Jones Lane,9640
1996,03,5869 Willis Summit,8220
1996,03,617 Jones Drive Suite 929,8730
1996,03,7120 Jennifer Station,18295
1996,03,8292 Phillips Unions Apt. 404,11895
1996,03,834 Christine Orchard Apt. 381,7350
1996,03,87747 Ross Parks Apt. 527,14375
1996,03,88034 Baker Trafficway,8735
1996,03,96005 Barber Flats Apt. 267,9205
1996,03,9944 April Squares,9270
1996,04,049 William Parkways,8565
1996,04,0794 Miller Place,7075
1996,04,30546 Angela Grove,1810
1996,04,37403 Leonard Circles Apt. 238,8405
1996,04,4556 Lydia Junctions,5885
1996,04,5567 Johnston Lodge Suite 478,7380
1996,04,87747 Ross Parks Apt. 527,3680
1996,04,8952 Zhang Prairie,8550
1996,04,9944 April Squares,7245
1996,08,0083 Jasmine Canyon Suite 151,9130
1996,08,0151 Nicole Road Apt. 213,10570
1996,08,1835 Charles Trail,7675
1996,08,1921 Gonzalez Trace Apt. 906,1155
1996,08,2562 Don Garden Suite 520,29010
1996,08,478 Thomas Rest Apt. 466,21910
1996,08,537 Mejia Wall Suite 409,8465
1996,08,5567 Johnston Lodge Suite 478,6380
1996,08,5869 Willis Summit,665
1996,08,6344 Douglas Brooks,9600
1996,08,680 Shawn Valleys,965
1996,08,7083 Mahoney Street,7040
1996,08,8168 Weaver Plaza Apt. 175,6475
1996,08,821 Ruben Forges,10475
1996,08,8292 Phillips Unions Apt. 404,7645
1996,08,834 Christine Orchard Apt. 381,8370
1996,08,87747 Ross Parks Apt. 527,6755
1996,08,88034 Baker Trafficway,23415
1996,09,0151 Nicole Road Apt. 213,7370
1996,09,122 Mckee Flat Suite 088,9355
1996,09,1835 Charles Trail,12050
1996,09,1921 Gonzalez Trace Apt. 906,5750
1996,09,2562 Don Garden Suite 520,2385
1996,09,360 Jessica Square,9430
1996,09,38418 Vincent Passage Suite 503,8085
1996,09,38500 Robert Meadow,7670
1996,09,468 Ashley Lock,11400
1996,09,478 Thomas Rest Apt. 466,19865
1996,09,5567 Johnston Lodge Suite 478,10245
1996,09,5686 Jones Lane,9740
1996,09,5869 Willis Summit,8055
1996,09,6344 Douglas Brooks,6725
1996,09,680 Shawn Valleys,16410
1996,09,70360 Jill Points,9270
1996,09,8168 Weaver Plaza Apt. 175,2165
1996,09,821 Ruben Forges,6155
1996,09,88034 Baker Trafficway,1130
1996,09,91617 Cole Underpass,8100
1996,09,9944 April Squares,6755
1996,10,0083 Jasmine Canyon Suite 151,7360
1996,10,0151 Nicole Road Apt. 213,5650
1996,10,0794 Miller Place,4040
1996,10,1835 Charles Trail,17285
1996,10,1921 Gonzalez Trace Apt. 906,8815
1996,10,22522 Savage Rest Suite 648,10290
1996,10,3419 Griffin Keys,7895
1996,10,3828 William Turnpike,13835
1996,10,4620 Shannon Dale Suite 351,7305
1996,10,468 Ashley Lock,7665
1996,10,5686 Jones Lane,14395
1996,10,617 Jones Drive Suite 929,17840
1996,10,6344 Douglas Brooks,9405
1996,10,73551 West Spur,8160
1996,10,8168 Weaver Plaza Apt. 175,6860
1996,10,8292 Phillips Unions Apt. 404,7480
1996,10,834 Christine Orchard Apt. 381,6520
1996,10,8952 Zhang Prairie,6850
1996,10,91641 John Islands,2150
1996,11,0794 Miller Place,2725
1996,11,1036 Edwards Flats Suite 078,7790
1996,11,1697 Coleman Fork Suite 182,7355
1996,11,2453 Mary Meadow Apt. 952,8555
1996,11,264 Marshall Islands,7455
1996,11,30546 Angela Grove,865
1996,11,3419 Griffin Keys,8455
1996,11,37403 Leonard Circles Apt. 238,9635
1996,11,3828 William Turnpike,875
1996,11,5686 Jones Lane,12945
1996,11,617 Jones Drive Suite 929,7945
1996,11,8168 Weaver Plaza Apt. 175,3825
1996,11,821 Ruben Forges,15605
1996,11,834 Christine Orchard Apt. 381,2130
1996,11,87747 Ross Parks Apt. 527,3305
1996,11,91641 John Islands,14970
1996,11,96005 Barber Flats Apt. 267,9570
1996,11,9944 April Squares,6850
1996,12,1036 Edwards Flats Suite 078,18585
1996,12,1697 Coleman Fork Suite 182,2670
1996,12,1835 Charles Trail,8200
1996,12,2453 Mary Meadow Apt. 952,1170
1996,12,264 Marshall Islands,2110
1996,12,30546 Angela Grove,8280
1996,12,38418 Vincent Passage Suite 503,9805
1996,12,38500 Robert Meadow,7815
1996,12,5567 Johnston Lodge Suite 478,7260
1996,12,5686 Jones Lane,9325
1996,12,577 Robinson Villages Apt. 588,7930
1996,12,6344 Douglas Brooks,7855
1996,12,821 Ruben Forges,7960
1996,12,87747 Ross Parks Apt. 527,5945
1996,12,88034 Baker Trafficway,17325
1996,12,96005 Barber Flats Apt. 267,8890
1997,01,0083 Jasmine Canyon Suite 151,7750
1997,01,0151 Nicole Road Apt. 213,7560
1997,01,122 Mckee Flat Suite 088,1745
1997,01,1697 Coleman Fork Suite 182,13510
1997,01,1921 Gonzalez Trace Apt. 906,4660
1997,01,22522 Savage Rest Suite 648,6545
1997,01,2453 Mary Meadow Apt. 952,6720
1997,01,264 Marshall Islands,7755
1997,01,334 Simmons Branch Suite 380,7360
1997,01,37403 Leonard Circles Apt. 238,19470
1997,01,5686 Jones Lane,2055
1997,01,70360 Jill Points,7050
1997,01,7120 Jennifer Station,8400
1997,01,821 Ruben Forges,7755
1997,01,834 Christine Orchard Apt. 381,7865
1997,01,9944 April Squares,10710
1997,02,0083 Jasmine Canyon Suite 151,7930
1997,02,049 William Parkways,9235
1997,02,122 Mckee Flat Suite 088,7380
1997,02,12635 Joseph Street Suite 224,21840
1997,02,1697 Coleman Fork Suite 182,1885
1997,02,1921 Gonzalez Trace Apt. 906,1285
1997,02,22522 Savage Rest Suite 648,3295
1997,02,2453 Mary Meadow Apt. 952,2050
1997,02,2562 Don Garden Suite 520,5755
1997,02,30546 Angela Grove,8075
1997,02,360 Jessica Square,9710
1997,02,4556 Lydia Junctions,18965
1997,02,537 Mejia Wall Suite 409,7460
1997,02,5686 Jones Lane,15145
1997,02,5869 Willis Summit,12015
1997,02,7083 Mahoney Street,13115
1997,02,87747 Ross Parks Apt. 527,24485
1997,02,91617 Cole Underpass,8895
1997,02,96005 Barber Flats Apt. 267,2790
1997,03,0151 Nicole Road Apt. 213,6525
1997,03,12635 Joseph Street Suite 224,10730
1997,03,150 Elizabeth Path Suite 550,7795
1997,03,1697 Coleman Fork Suite 182,7020
1997,03,1835 Charles Trail,9465
1997,03,1921 Gonzalez Trace Apt. 906,9140
1997,03,2453 Mary Meadow Apt. 952,8500
1997,03,2562 Don Garden Suite 520,575
1997,03,264 Marshall Islands,13955
1997,03,30546 Angela Grove,1325
1997,03,3419 Griffin Keys,2005
1997,03,37403 Leonard Circles Apt. 238,7640
1997,03,3828 William Turnpike,5435
