Director,Movie,Total_Sales,Rank
Ashley Bennett,Fully-configurable zero tolerance moratorium,8216,1
Ashley Rose,Total tangible infrastructure,7045,1
Austin Fuentes,Assimilated logistical time-frame,5375,1
Austin Khan,Up-sized methodical solution,8685,1
Barbara Byrd,Multi-channeled homogeneous benchmark,9480,1
Billy Diaz,Vision-oriented zero tolerance knowledge user,8375,1
Blake Osborne,Adaptive web-enabled Graphical User Interface,4235,1
Brandon Barrera,Reactive incremental function,6395,1
Brandon Little,Enterprise-wide bifurcated frame,7335,1
Brandon Mueller,De-engineered high-level core,7780,1
Brandon Mueller,Triple-buffered disintermediate service-desk,6245,2
Brandon Mueller,Open-architected bandwidth-monitored matrices,6195,3
Brandon Mueller,Distributed next generation task-force,5737,4
Brandon Mueller,Universal contextually-based infrastructure,5695,5
Brandy Knight,Fundamental contextually-based intranet,7490,1
Brian Chan,Enhanced zero tolerance initiative,8651,1
Brian Chan,Compatible even-keeled capacity,8336,2
Brian Chan,Devolved background access,7775,3
Brian Chase,Centralized hybrid hardware,8880,1
Brian Chase,Automated value-added matrices,5987,2
Brian Chase,Robust dynamic groupware,5025,3
Brian Chase,Switchable multi-tasking instruction set,3205,4
Brian Jenkins,Ergonomic local knowledgebase,10420,1
Brian Jenkins,Multi-layered client-driven analyzer,8595,2
Brian Jenkins,Ergonomic user-facing framework,8415,3
Brian Jenkins,Total tangible infrastructure,7045,4
Brian Jenkins,Triple-buffered zero tolerance website,6690,5
Brian Jenkins,Progressive optimizing flexibility,6270,6
Brian Jenkins,Upgradable intangible flexibility,5890,7
Brian Morgan,User-centric clear-thinking customer loyalty,7580,1
Brianna Wilson,Robust homogeneous alliance,5941,1
Brittney White,Team-oriented homogeneous algorithm,9875,1
Brittney White,Implemented even-keeled matrix,7160,2
Brittney White,Face-to-face context-sensitive firmware,7125,3
Brittney White,Multi-channeled tertiary hierarchy,6765,4
Brittney White,Fully-configurable web-enabled emulation,6270,5
Brittney White,Open-architected heuristic installation,4695,6
Caleb Peterson,Multi-lateral intermediate task-force,6875,1
Cameron Jones,Customer-focused fault-tolerant project,6005,1
Carlos Smith,User-centric clear-thinking customer loyalty,7580,1
Carolyn Brown,Multi-lateral interactive firmware,6425,1
Carolyn Huffman,Customer-focused local system engine,7003,1
Carrie Miller,Horizontal empowering system engine,11490,1
Carrie Miller,Total coherent encoding,8955,2
Carrie Miller,Visionary empowering neural-net,7957,3
Carrie Miller,Face-to-face actuating knowledge user,7215,4
Carrie Miller,Switchable contextually-based throughput,6286,5
Carrie Miller,Robust homogeneous alliance,5941,6
Cassandra Mills,Virtual upward-trending open system,9445,1
Cassandra Mills,Up-sized methodical solution,8685,2
Cassandra Mills,Re-contextualized leadingedge product,7485,3
Cassandra Mills,Total heuristic time-frame,6805,4
Cassandra Mills,Open-source bi-directional complexity,6030,5
Cassandra Mills,Expanded intermediate conglomeration,5780,6
Charles Crawford,User-centric tangible approach,8413,1
Charles Crawford,De-engineered directional workforce,5690,2
Charles Hall,Team-oriented bifurcated intranet,7450,1
Charles Lowe,Right-sized content-based complexity,8985,1
Charles Lowe,Stand-alone uniform website,5800,2
Charles Roy,Face-to-face actuating knowledge user,7215,1
Charlotte Spencer,Fundamental multimedia access,6010,1
Christina Hurst,Team-oriented bifurcated intranet,7450,1
Christina Ramirez,Digitized bifurcated knowledgebase,7335,1
Christine Jordan,Vision-oriented hybrid model,6835,1
Christine Logan,Devolved homogeneous support,2840,1
Christine Solis,Object-based context-sensitive array,8030,1
Christine Solis,Optimized didactic website,7040,2
Christine Solis,Vision-oriented upward-trending migration,7003,3
Christine Solis,Mandatory mission-critical firmware,6755,4
Christine Solis,Digitized dedicated complexity,6625,5
Christine Solis,Integrated attitude-oriented frame,4700,6
Christine Solis,Profound didactic success,4630,7
Christine Solis,Polarized directional capacity,3825,8
Christine Solis,Assimilated 5thgeneration encryption,3210,9
Christopher Alvarado,Reactive empowering encoding,7485,1
Christopher Alvarado,User-centric motivating website,7365,2
Christopher Alvarado,Assimilated multi-state focus group,6820,3
Christopher Alvarado,Horizontal optimal access,6745,4
Christopher Alvarado,Ameliorated scalable concept,6545,5
Christopher Alvarado,Realigned value-added initiative,4325,6
Christopher Alvarado,Upgradable grid-enabled paradigm,3225,7
Christopher Dominguez,Fully-configurable zero tolerance moratorium,8216,1
Christopher Gregory,Enterprise-wide bifurcated frame,7335,1
Christopher Steele,Exclusive holistic benchmark,5950,1
Clifford Trujillo,Centralized actuating standardization,3430,1
Cody Clark,Horizontal non-volatile product,8175,1
Cody Robinson,Reactive next generation website,7415,1
Cody Robinson,Reactive explicit circuit,6756,2
Craig Fleming,Phased executive migration,6830,1
Dakota Higgins,Open-architected eco-centric orchestration,5481,1
Dana Cross,Team-oriented human-resource database,5940,1
Dana Cross,Integrated optimal Graphic Interface,5790,2
Dana Norris,Synergistic discrete structure,6620,1
Daniel Austin,Public-key uniform challenge,6680,1
Daniel Brown,Distributed motivating extranet,10065,1
Daniel Brown,Profit-focused homogeneous budgetary management,9645,2
Daniel Brown,Business-focused 24/7 array,8592,3
Daniel Brown,Right-sized discrete benchmark,7460,4
Daniel Brown,Open-architected eco-centric orchestration,5481,5
Daniel Brown,Expanded maximized throughput,4480,6
Daniel Mcdaniel,Right-sized discrete benchmark,7460,1
Daniel Schroeder,Quality-focused bandwidth-monitored protocol,7155,1
Daniel Stevenson,Universal 4thgeneration framework,9860,1
Daniel Williams,Synergistic discrete structure,6620,1
David Hoffman,Optimized didactic website,7040,1
David Long,Implemented content-based intranet,8115,1
David Long,Compatible leadingedge protocol,7670,2
David Long,Cross-platform multi-state productivity,6785,3
David Long,Focused tangible data-warehouse,6385,4
David Long,Progressive exuding matrix,6098,5
David Lopez,Distributed real-time application,6085,1
David Mayo,Object-based neutral middleware,7080,1
Debbie Powers,Mandatory web-enabled productivity,9085,1
Debbie Powers,Distributed 5thgeneration circuit,7152,2
Debbie Powers,Multi-lateral demand-driven adapter,6815,3
Debbie Powers,Business-focused solution-oriented website,6060,4
Debbie Powers,Visionary background model,5630,5
Debbie Powers,Operative multimedia task-force,5180,6
Dennis Owens,Digitized demand-driven encoding,8950,1
Dennis Owens,User-centric tangible approach,8413,2
Dennis Owens,Down-sized holistic ability,7751,3
Dennis Owens,Down-sized attitude-oriented product,7610,4
Dennis Owens,Customizable 5thgeneration groupware,5114,5
Dennis Owens,Distributed fresh-thinking portal,3840,6
Dennis Tucker,Networked multi-state installation,5800,1
Derrick Phelps,Assimilated multi-state focus group,6820,1
Diana Williams,Face-to-face bi-directional info-mediaries,10185,1
Donald Rocha,Grass-roots holistic strategy,9440,1
Donald Rocha,Automated real-time attitude,8845,2
Donald Rocha,Re-engineered asymmetric Graphic Interface,8240,3
Donald Rocha,Open-architected upward-trending synergy,4535,4
Douglas Williams,Fundamental 24hour extranet,6880,1
Douglas Williams,Triple-buffered zero tolerance website,6690,2
Dylan Becker,Public-key cohesive throughput,9910,1
Eddie Smith,Reduced 6thgeneration toolset,10400,1
Eddie Smith,Future-proofed dynamic complexity,9416,2
Eddie Smith,Secured empowering project,8635,3
Eddie Smith,Customer-focused local system engine,7003,4
Eddie Smith,Decentralized bifurcated synergy,6095,5
Eduardo Graves,Stand-alone tertiary open architecture,6535,1
Eduardo Graves,Intuitive web-enabled solution,6495,2
Eduardo Graves,Polarized human-resource attitude,6285,3
Eduardo Graves,Grass-roots foreground implementation,5660,4
Eduardo Graves,Future-proofed executive product,5425,5
Edward Bailey,Upgradable global benchmark,6655,1
Edward Singh,Centralized 4thgeneration challenge,3975,1
Elizabeth Garcia,Monitored executive solution,10470,1
Elizabeth Heath,Horizontal optimal access,6745,1
Emily Fischer,User-friendly mobile parallelism,8297,1
Emily Fischer,Function-based hybrid structure,7218,2
Emily Fischer,Polarized modular middleware,5935,3
Emily Fischer,Quality-focused homogeneous middleware,4930,4
Emily Fischer,Reactive tertiary intranet,4659,5
Emily Fischer,Automated stable analyzer,4605,6
Emma Ross,Fundamental solution-oriented instruction set,7735,1
Emma Ross,Proactive next generation utilization,7430,2
Emma Ross,Object-based neutral middleware,7080,3
Emma Ross,Switchable intangible installation,7060,4
Emma Ross,Enterprise-wide regional core,5740,5
Emma Ross,Business-focused local challenge,5570,6
Emma Ross,Visionary neutral process improvement,4720,7
Eric Henry,Persevering motivating neural-net,8050,1
Eric Henry,Multi-layered user-facing application,8020,2
Eric Henry,Managed multimedia solution,7180,3
Eric Henry,Proactive 3rdgeneration process improvement,5835,4
Eric Henry,Customizable 4thgeneration collaboration,5410,5
Eric Henry,Devolved homogeneous support,2840,6
Eugene Williams,Stand-alone uniform website,5800,1
Francis Miller,Ameliorated next generation emulation,6055,1
Frank Phillips,Quality-focused exuding neural-net,6970,1
Frank Phillips,Synergized reciprocal emulation,6239,2
Frank Phillips,Integrated neutral matrices,4345,3
Frank Phillips,De-engineered composite help-desk,4265,4
George Daniels,Open-source coherent encryption,7460,1
George Daniels,Profit-focused stable conglomeration,6845,2
George Daniels,De-engineered multi-tasking time-frame,6660,3
George Daniels,Phased systemic migration,5585,4
George Daniels,Automated dynamic contingency,5495,5
Harold Webb,Enterprise-wide fresh-thinking functionalities,5465,1
Helen Weaver,Balanced disintermediate software,7350,1
Henry Williams,Monitored executive solution,10470,1
Holly Lopez,Phased tangible frame,5940,1
Holly Lopez,Devolved homogeneous support,2840,2
Isaac Poole,Robust tertiary interface,6525,1
Isaac Poole,Grass-roots systemic Graphic Interface,6135,2
Isaac Poole,Managed 5thgeneration product,5755,3
Isaac Poole,Fully-configurable grid-enabled archive,5670,4
Isaac Poole,Networked high-level throughput,5610,5
Isaac Poole,Synchronized next generation synergy,4064,6
James Chavez,Upgradable interactive structure,10435,1
James Chavez,Pre-emptive client-driven migration,7025,2
James Chavez,Grass-roots attitude-oriented forecast,6695,3
James Johnson,Polarized directional capacity,3825,1
James Jones,Total non-volatile collaboration,9885,1
James Landry,Total maximized capability,10870,1
Janet Foster,Phased 3rdgeneration productivity,6395,1
Janet Harmon,Integrated analyzing help-desk,8515,1
Janet Harmon,Seamless optimal migration,7778,2
Janet Harmon,Inverse 24hour toolset,7560,3
Janet Harmon,Phased executive migration,6830,4
Janet Harmon,Total holistic encoding,5545,5
Janet Harmon,Mandatory bandwidth-monitored toolset,4180,6
Jared Mitchell,Profit-focused stable conglomeration,6845,1
Jeffrey Banks,Focused bottom-line Local Area Network,6080,1
Jeffrey Bush,Quality-focused scalable open architecture,5960,1
Jeffrey Jones,Total client-server collaboration,5072,1
Jenna Huffman,Optimized mission-critical matrices,6800,1
Jennifer Anderson,Synergized reciprocal emulation,6239,1
Jennifer Walters,Decentralized bottom-line collaboration,9015,1
Jennifer Walters,Adaptive eco-centric conglomeration,8926,2
Jennifer Walters,Visionary fault-tolerant Graphic Interface,7945,3
Jennifer Walters,Optimized bifurcated project,7055,4
Jennifer Walters,Streamlined asymmetric toolset,5715,5
Jennifer Walters,Organized clear-thinking product,5676,6
Jeremy Peterson,Team-oriented human-resource database,5940,1
Jeremy Potter,Distributed dedicated firmware,7545,1
Jeremy Reid,Balanced disintermediate software,7350,1
Jeremy Reid,Optional bifurcated archive,6765,2
Jesse Brown,Fully-configurable actuating groupware,6740,1
Jessica Cabrera,Reverse-engineered heuristic complexity,7580,1
Jessica Matthews,Virtual reciprocal flexibility,7865,1
Jessica Parker,Polarized demand-driven initiative,6385,1
Jessica Sanchez,User-centric multimedia adapter,5001,1
Jessica Willis,Ergonomic local knowledgebase,10420,1
Jim Haynes,Cloned foreground service-desk,10480,1
Jim Haynes,Reactive content-based methodology,9740,2
Jim Haynes,Automated logistical collaboration,7285,3
Jim Haynes,Customer-focused clear-thinking concept,7075,4
Jim Haynes,Universal heuristic flexibility,6805,5
Jim Haynes,Reverse-engineered hybrid functionalities,6000,6
Jim Haynes,Persevering dynamic attitude,4975,7
John Bishop,Extended national frame,6747,1
John Hurst,Phased systemic migration,5585,1
John Lester,Distributed 5thgeneration circuit,7152,1
John Mccarthy,Multi-tiered optimal functionalities,4050,1
John Morales,Fundamental solution-oriented instruction set,7735,1
John Pollard,Managed 5thgeneration product,5755,1
John Scott,Phased tangible frame,5940,1
John Wilson,Versatile web-enabled encoding,7195,1
John Wilson,Customer-focused fault-tolerant project,6005,2
John Wilson,Phased optimal implementation,5735,3
Jordan Farmer,Operative user-facing orchestration,6450,1
Jose George,Re-engineered web-enabled strategy,9980,1
Jose George,Sharable dynamic framework,8965,2
Jose George,Reverse-engineered logistical challenge,7526,3
Jose George,Multi-channeled fault-tolerant access,6930,4
Jose George,Public-key uniform challenge,6680,5
Jose George,Seamless fresh-thinking encryption,5793,6
Jose Sharp,Cloned dynamic time-frame,10835,1
Jose Sharp,Quality-focused needs-based strategy,9665,2
Jose Sharp,Business-focused grid-enabled service-desk,8385,3
Jose Sharp,Re-contextualized real-time emulation,7715,4
Jose Sharp,Enterprise-wide bifurcated frame,7335,5
Jose Sharp,Reverse-engineered attitude-oriented interface,6290,6
Jose Sharp,Mandatory grid-enabled initiative,6181,7
Jose Sharp,Fundamental multimedia access,6010,8
Jose Sharp,Pre-emptive clear-thinking paradigm,5510,9
Jose Sharp,Streamlined coherent moderator,5090,10
Jose Sharp,Assimilated well-modulated policy,1925,11
Jose Smith,Multi-channeled homogeneous benchmark,9480,1
Jose Smith,Virtual needs-based toolset,8565,2
Jose Smith,Automated scalable portal,7330,3
Jose Smith,Digitized content-based strategy,7115,4
Jose Smith,Distributed real-time application,6085,5
Jose Smith,Ameliorated next generation emulation,6055,6
Joseph Caldwell,Open-architected upward-trending synergy,4535,1
Joseph Kelly,Switchable system-worthy function,9526,1
Joseph Kelly,Universal tertiary hub,8665,2
Joseph Kelly,Multi-lateral intermediate task-force,6875,3
Joseph Kelly,Reactive mission-critical superstructure,6150,4
Joseph Kelly,Customizable 5thgeneration encryption,5500,5
Joseph Stanley,Future-proofed explicit neural-net,8070,1
Joy Ferguson,Horizontal interactive orchestration,8589,1
Joy Ferguson,Synergistic discrete structure,6620,2
Julia Morris,Adaptive actuating structure,8545,1
Julia Morris,Operative user-facing orchestration,6450,2
Julia Morris,Business-focused methodical core,4735,3
Justin Choi,Horizontal interactive orchestration,8589,1
Justin Choi,Total explicit alliance,7998,2
Justin Choi,Reverse-engineered full-range synergy,6695,3
Justin Choi,Exclusive transitional infrastructure,5585,4
Justin Choi,Implemented interactive artificial intelligence,4620,5
Justin Garrett,User-friendly multi-state definition,8245,1
Justin Garrett,Synergized explicit hierarchy,7690,2
Justin Garrett,Upgradable client-driven algorithm,6550,3
Justin Garrett,Profound object-oriented workforce,4970,4
Justin Hunt,Configurable discrete open architecture,8385,1
Justin Hunt,Open-source impactful focus group,6999,2
Justin Hunt,Optional background extranet,5120,3
Justin Hunt,Configurable content-based open architecture,5080,4
Justin Hunt,Enterprise-wide dynamic Local Area Network,4005,5
Justin Lloyd,Customer-focused modular utilization,6050,1
Kaitlin Booker,Focused multi-state benchmark,7830,1
Kaitlin Booker,Fundamental contextually-based intranet,7490,2
Kaitlin Booker,Diverse human-resource capability,5360,3
Kaitlin Booker,Distributed reciprocal model,5325,4
Kara Perkins MD,Secured empowering project,8635,1
Karen Jones,Implemented even-keeled matrix,7160,1
Karen Trujillo,Mandatory mission-critical firmware,6755,1
Katelyn Cook,Fundamental solution-oriented instruction set,7735,1
Kathleen Smith,Automated logistical collaboration,7285,1
Katie Smith,Profound didactic success,4630,1
Keith Barker,Virtual actuating leverage,8305,1
Kelly Dunlap,Reverse-engineered hybrid functionalities,6000,1
Kenneth Perez,Grass-roots stable methodology,10890,1
Kenneth Perez,Vision-oriented zero tolerance knowledge user,8375,2
Kenneth Perez,Ameliorated dedicated process improvement,7820,3
Kenneth Perez,Ergonomic executive groupware,5810,4
Kevin Burton,Realigned global neural-net,7290,1
Kevin Jackson,Innovative 5thgeneration policy,7175,1
Kevin Jackson,Vision-oriented dedicated info-mediaries,7035,2
Kevin Jackson,Profound value-added orchestration,6430,3
Kevin Jackson,Quality-focused heuristic website,6315,4
Kevin Jackson,Operative next generation challenge,6072,5
Kevin Jackson,Customer-focused modular utilization,6050,6
Kevin Jackson,Networked multi-state installation,5800,7
Kevin Jackson,Integrated value-added software,4375,8
Kimberly Diaz,Realigned 24/7 infrastructure,9690,1
Kimberly Diaz,Future-proofed explicit neural-net,8070,2
Kimberly Diaz,Assimilated scalable definition,5230,3
Kimberly Diaz,Exclusive clear-thinking project,3905,4
Kimberly Hall,Configurable content-based open architecture,5080,1
Kimberly Stevens,Monitored exuding model,7565,1
Kimberly Villanueva,Organized clear-thinking product,5676,1
Kimberly Walton,Function-based hybrid structure,7218,1
Kimberly Zuniga,Decentralized bottom-line collaboration,9015,1
Kimberly Zuniga,Future-proofed exuding migration,5860,2
Kristen Bailey,Networked systematic core,9065,1
Kristen Bailey,Synergistic dynamic conglomeration,5150,2
Kristen Bailey,Quality-focused context-sensitive capacity,4785,3
Kristen Guerra,Customer-focused responsive info-mediaries,5056,1
Kurt Hudson,Reverse-engineered hybrid functionalities,6000,1
Kurt Hudson,Switchable motivating synergy,4600,2
Laura Morgan,Open-source bi-directional complexity,6030,1
Laura Ware,Automated transitional access,7740,1
Laura Ware,Optimized exuding infrastructure,7205,2
Laura Ware,Organized next generation methodology,6045,3
Laura Ware,Down-sized transitional task-force,1903,4
Laurie Gaines,Multi-lateral empowering architecture,8265,1
Leslie Robinson,Profound value-added orchestration,6430,1
Leslie Villarreal,Profit-focused 4thgeneration leverage,8285,1
Leslie Villarreal,Realigned global neural-net,7290,2
Leslie Villarreal,Profound mobile toolset,6800,3
Leslie Villarreal,Exclusive 24/7 system engine,6170,4
Leslie Villarreal,Synchronized optimizing architecture,4555,5
Linda Armstrong,Synchronized 4thgeneration secured line,8499,1
Linda Bishop,Implemented bandwidth-monitored interface,9530,1
Linda Bishop,Diverse background utilization,8595,2
Linda Bishop,Cross-platform demand-driven architecture,6305,3
Linda Bishop,Fully-configurable content-based instruction set,5191,4
Linda Bishop,Synchronized multimedia open architecture,3930,5
Linda Bishop,Centralized actuating standardization,3430,6
Linda Chandler,Multi-channeled leadingedge website,8435,1
Linda Chandler,Implemented systematic utilization,6920,2
Linda Chandler,Phased 3rdgeneration productivity,6395,3
Linda Chandler,Mandatory high-level instruction set,6170,4
Linda Chandler,Exclusive motivating knowledgebase,5915,5
Linda Chandler,Persistent 5thgeneration service-desk,5845,6
Linda Chandler,Synchronized coherent migration,5500,7
Linda Chandler,Right-sized real-time approach,5455,8
Linda Chandler,Multi-tiered optimal functionalities,4050,9
Linda Chandler,Assimilated discrete alliance,2960,10
Linda Hood,Enterprise-wide regional core,5740,1
Lisa Fisher,Automated foreground success,8605,1
Lisa Lozano,Object-based context-sensitive array,8030,1
Lisa Ramirez,Persistent mission-critical solution,7380,1
Lisa Young,Implemented even-keeled matrix,7160,1
Lori Cruz,Right-sized static application,5950,1
Lori Washington,Programmable high-level infrastructure,9585,1
Manuel Smith,Up-sized methodical solution,8685,1
Marcus Knapp,Phased content-based benchmark,7705,1
Maria Mcbride,Customer-focused modular utilization,6050,1
Mariah Edwards,Monitored exuding model,7565,1
Mariah Edwards,Multi-layered mission-critical knowledge user,7285,2
Mariah Edwards,Phased tangible frame,5940,3
Mariah Edwards,Devolved impactful secured line,5715,4
Marie Grant,Enhanced interactive portal,10890,1
Marie Grant,Multi-tiered 3rdgeneration access,10510,2
Marissa Hines,Assimilated local firmware,8795,1
Marissa Roberts,Upgradable grid-enabled paradigm,3225,1
Mark Daniel MD,Centralized hybrid hardware,8880,1
Mark Smith,Future-proofed solution-oriented archive,6025,1
Mary Clark,Persevering motivating neural-net,8050,1
Mary Graham,Cloned empowering implementation,6530,1
Mary Rose,Ameliorated holistic collaboration,8620,1
Mary Rose,Team-oriented bifurcated intranet,7450,2
Mary Rose,Fundamental solution-oriented migration,6585,3
Mary Rose,Switchable motivating synergy,4600,4
Matthew Martinez,Decentralized bottom-line collaboration,9015,1
Matthew Oliver,Virtual upward-trending open system,9445,1
Meagan Gallagher,Multi-lateral empowering architecture,8265,1
Megan Haynes,Fundamental contextually-based intranet,7490,1
Melanie Oneill,Distributed next generation task-force,5737,1
Melissa Chandler,Optimized bandwidth-monitored functionalities,7510,1
Melissa Davis,Grass-roots stable methodology,10890,1
Melissa Meyers,Mandatory actuating task-force,11895,1
Melissa Mills,Multi-tiered multi-state focus group,7435,1
Melissa Taylor,Inverse reciprocal secured line,10435,1
Melissa Taylor,User-friendly didactic leverage,8574,2
Melissa Taylor,Multi-tiered asymmetric workforce,8315,3
Melissa Taylor,Digitized composite attitude,7610,4
Melissa Taylor,Cloned empowering implementation,6530,5
Melissa Taylor,Multi-lateral interactive firmware,6425,6
Melissa Taylor,Up-sized disintermediate array,3240,7
Meredith Jacobson,Re-contextualized asymmetric model,11408,1
Meredith Jacobson,Open-architected human-resource emulation,9590,2
Meredith Jacobson,Optimized bandwidth-monitored functionalities,7510,3
Meredith Jacobson,Multi-tiered multi-state focus group,7435,4
Meredith Jacobson,Customizable contextually-based infrastructure,6850,5
Meredith Jacobson,Fully-configurable actuating groupware,6740,6
Meredith Jacobson,Centralized modular access,6590,7
Meredith Jacobson,Front-line radical core,5785,8
Meredith Jacobson,Proactive directional toolset,4695,9
Michael Davis,Exclusive motivating knowledgebase,5915,1
Michael Davis,Fully-configurable grid-enabled archive,5670,2
Michael Howell,Cross-platform 4thgeneration budgetary management,8500,1
Michael Howell,Customizable zero administration benchmark,6950,2
Michael Howell,Streamlined user-facing portal,6685,3
Michael Howell,Reactive incremental function,6395,4
Michael Howell,Enterprise-wide fresh-thinking functionalities,5465,5
Michael Howell,Stand-alone empowering help-desk,3975,6
Michael Howell,Sharable static synergy,3140,7
Michael Shaw,Monitored eco-centric budgetary management,8395,1
Michael Shaw,Multi-tiered 3rdgeneration matrix,7563,2
Michael Shaw,Visionary reciprocal knowledge user,7255,3
Michael Shaw,Pre-emptive directional conglomeration,5550,4
Michael Smith,Assimilated attitude-oriented model,5580,1
Michael Valencia,Robust explicit flexibility,6545,1
Michele Rodriguez,Business-focused radical structure,7230,1
Michelle Wells,Mandatory actuating task-force,11895,1
Mohamed Khan,Face-to-face logistical open system,8705,1
Mohamed Khan,Triple-buffered 5thgeneration emulation,8535,2
Mohamed Khan,Digitized intangible superstructure,7750,3
Mohamed Khan,Balanced dynamic analyzer,6220,4
Mohamed Khan,Progressive 3rdgeneration parallelism,4175,5
Molly Tran,Reduced 6thgeneration toolset,10400,1
Monica Robles,Face-to-face bi-directional info-mediaries,10185,1
Monica Robles,Managed composite analyzer,9366,2
Monica Robles,User-centric clear-thinking customer loyalty,7580,3
Monica Robles,Vision-oriented clear-thinking throughput,6150,4
Monica Robles,Optimized mission-critical moratorium,6090,5
Monica Robles,Progressive exuding capability,5241,6
Mr. Carlos Cisneros,Proactive 3rdgeneration process improvement,5835,1
Mr. David Young,Polarized demand-driven initiative,6385,1
Mr. Guy Rivera MD,Fundamental human-resource groupware,9030,1
Nancy Brooks,Phased executive migration,6830,1
Nicholas Henderson,Customer-focused tangible knowledgebase,7300,1
Nicholas Lee,Streamlined coherent moderator,5090,1
Nicole Mcdonald,Integrated value-added software,4375,1
Nicole Shelton,Cross-platform high-level open system,9095,1
Nicole Shelton,Realigned even-keeled moderator,7955,2
Nicole Shelton,Centralized 4thgeneration challenge,3975,3
Nina King,Optional impactful policy,8670,1
Nina King,Team-oriented demand-driven projection,7090,2
Nina King,Team-oriented executive moderator,7000,3
Noah Mendez,Ameliorated next generation emulation,6055,1
Olivia Allen,Persevering zero tolerance orchestration,8400,1
Olivia Allen,Grass-roots client-server frame,7510,2
Olivia Allen,Open-architected cohesive Local Area Network,6380,3
Olivia Allen,Adaptive web-enabled Graphical User Interface,4235,4
Pamela Foster,Monitored executive solution,10470,1
Pamela Patton,Reduced 6thgeneration toolset,10400,1
Patricia Flores,Synchronized next generation synergy,4064,1
Patrick Dennis,Re-engineered heuristic open system,6625,1
Patrick Dennis,Total optimizing access,6375,2
Patrick Dennis,Right-sized holistic interface,5860,3
Patrick Dennis,Realigned zero tolerance website,5420,4
Patrick Marsh,Ameliorated holistic collaboration,8620,1
Paul Lozano,Virtual reciprocal flexibility,7865,1
Paul Lozano,Open-architected next generation support,7545,2
Paul Lozano,Persevering clear-thinking Internet solution,6025,3
Peter Sanchez,Switchable interactive alliance,4108,1
Phillip Martin,Extended stable challenge,4790,1
Phillip Pierce,Open-architected next generation support,7545,1
Phyllis Orr,Grass-roots holistic strategy,9440,1
Rachel Horn,Stand-alone multimedia budgetary management,8155,1
Rachel Horn,Quality-focused context-sensitive capacity,4785,2
Randall Collier,Streamlined user-facing portal,6685,1
Randy Valdez,Fully-configurable content-based instruction set,5191,1
Raymond Nelson,Programmable high-level infrastructure,9585,1
Raymond Nelson,Polarized local project,9080,2
Raymond Nelson,Stand-alone multimedia budgetary management,8155,3
Raymond Nelson,Business-focused context-sensitive installation,7975,4
Raymond Nelson,Decentralized intangible monitoring,7185,5
Raymond Nelson,Implemented methodical secured line,6955,6
Raymond Nelson,Vision-oriented hybrid model,6835,7
Raymond Nelson,Progressive asymmetric instruction set,6815,8
Raymond Nelson,Team-oriented well-modulated customer loyalty,5885,9
Raymond Nelson,Open-source object-oriented superstructure,5695,10
Rebecca Rogers,Implemented impactful productivity,8375,1
Rebecca Rogers,Mandatory holistic approach,7830,2
